Do you like solving puzzles/logical problems?,Do you enjoy coding/programming?,Do you like drawing/designing things?,Do you like analyzing numbers and data?,Do you like reading research/theory?,Do you worry about security/safety in tech?,Do you like making apps for phones?,Do you enjoy designing websites visually?,Do you like working with hardware/electronics?,Do you enjoy playing/building games?,Do you like teamwork/leading others?,Do you enjoy working with databases and SQL?,Do you enjoy deploying/maintaining servers or infrastructure?,Do you enjoy automating workflows and CI/CD?,Do you like writing tests and ensuring quality?,Do you enjoy optimizing performance and low-level systems?,Do you enjoy exploring new tech trends like AR/VR?,Are you interested in blockchain or crypto technologies?,Do you enjoy writing documentation and communicating ideas?,Do you prefer building user interfaces over backend logic?,Do you enjoy troubleshooting/debugging complex issues?,Do you enjoy understanding user/business needs and planning features?,"Based on your answers, which domain does the system suggest? (output)"
5,4,1,1,1,2,1,1,5,1,2,2,1,1,2,5,1,1,2,1,4,2,Embedded / IoT
4,4,4,2,1,1,1,3,1,2,2,1,1,1,2,2,5,1,2,4,3,2,AR/VR
4,4,4,2,1,1,1,4,1,2,2,1,1,1,2,2,5,1,2,4,3,2,AR/VR
3,4,4,2,1,1,1,3,1,2,2,1,1,1,2,2,5,1,2,4,3,2,AR/VR
4,4,3,2,1,1,1,2,1,5,2,1,1,1,2,2,2,1,2,3,4,2,Game Development
4,4,3,2,1,1,1,2,1,5,2,1,1,1,2,2,2,1,2,3,5,2,Game Development
3,4,3,2,1,1,1,2,1,5,2,1,1,1,2,2,2,1,2,3,4,2,Game Development
4,4,2,2,1,2,1,1,1,1,2,2,1,1,2,2,1,5,2,2,3,2,Blockchain / Web3
4,5,2,2,1,2,1,1,1,1,2,2,1,1,2,2,1,5,2,2,4,2,Blockchain / Web3
5,4,2,2,1,2,1,1,1,1,2,2,1,1,2,2,1,5,2,2,3,3,Blockchain / Web3
4,4,2,1,1,1,1,3,4,2,2,2,2,1,1,2,1,4,2,Machine Learning,,,
4,5,1,5,5,2,1,1,1,1,3,5,2,2,2,2,1,1,2,1,4,2,Machine Learning
5,4,1,4,5,1,1,1,1,1,2,5,2,1,2,1,1,1,2,1,4,2,Machine Learning
4,4,2,4,3,2,1,1,1,1,2,4,2,2,2,2,1,1,2,1,3,2,Data Analyst
4,3,2,5,3,1,1,1,1,1,2,5,2,2,2,1,1,1,2,1,3,2,Data Analyst
5,3,1,5,3,1,1,1,1,1,2,5,2,1,2,1,1,1,2,1,3,2,Data Analyst
5,5,1,2,1,2,1,1,1,1,2,3,2,2,2,5,1,1,2,1,4,2,Systems Engineer
4,4,1,2,1,2,1,1,1,1,2,3,2,2,2,5,1,1,2,1,4,2,Systems Engineer
5,4,1,2,1,2,1,1,1,1,2,3,2,2,2,5,1,1,2,1,4,2,Systems Engineer
3,4,3,2,1,1,5,2,1,1,2,2,1,1,2,2,1,1,2,3,5,2,Android Developer
4,4,3,2,1,1,5,2,1,1,2,2,1,1,2,2,1,1,2,3,5,2,Android Developer
4,5,3,2,1,1,5,3,1,1,2,2,1,1,2,2,1,1,2,3,5,2,Android Developer
3,4,4,2,1,1,1,4,1,1,2,2,1,1,2,1,2,1,3,5,3,2,Web Designer
2,4,5,2,1,1,1,5,1,1,2,2,1,1,2,1,2,1,3,5,3,2,Web Designer
3,4,5,2,1,1,1,5,1,1,2,2,1,1,2,1,2,1,3,5,3,2,Web Designer
5,4,1,2,1,5,1,1,1,1,2,2,2,3,3,5,1,1,2,1,4,2,Network Security
4,4,1,2,1,5,1,1,1,1,2,2,2,3,3,4,1,1,2,1,4,2,Network Security
4,3,1,2,1,5,1,1,1,1,2,2,2,2,3,4,1,1,2,1,4,2,Network Security
4,4,2,2,1,1,1,2,5,1,2,2,1,1,2,4,1,1,2,2,4,2,IoT Development
4,4,1,2,1,1,1,1,5,1,2,2,1,1,2,5,1,1,2,2,4,2,IoT Development
5,4,1,2,1,1,1,1,5,1,2,2,1,1,2,5,1,1,2,2,4,2,IoT Development
3,3,2,2,1,1,1,2,1,5,2,1,1,1,2,2,2,1,2,3,4,2,Game Tester
3,4,2,2,1,1,1,2,1,5,2,1,1,1,2,2,2,1,2,3,4,2,Game Tester
4,4,2,2,1,1,1,2,1,5,2,1,1,1,2,2,2,1,2,3,5,2,Game Tester
3,4,2,2,1,2,1,1,1,1,3,3,5,2,2,2,1,1,2,1,3,2,Cloud DevOps
4,4,1,2,1,2,1,1,1,1,3,3,5,2,2,2,1,1,2,1,3,2,Cloud DevOps
4,5,1,2,1,2,1,1,1,1,3,3,5,3,2,2,1,1,2,1,3,2,Cloud DevOps
4,3,1,2,2,2,1,1,1,1,2,3,2,4,5,2,1,1,2,1,3,2,Site Reliability Engineer
4,3,1,2,2,2,1,1,1,1,2,3,2,4,5,2,1,1,2,1,3,2,Site Reliability Engineer
5,4,1,2,2,2,1,1,1,1,2,3,2,4,5,2,1,1,2,1,3,2,Site Reliability Engineer
3,2,5,1,1,1,1,5,1,1,2,1,1,1,2,1,1,1,4,5,3,2,Graphic Designer
2,2,5,1,1,1,1,5,1,1,2,1,1,1,2,1,1,1,4,5,3,2,Graphic Designer
3,2,5,1,1,1,1,5,1,1,2,1,1,1,2,1,1,1,4,5,3,2,Graphic Designer
4,4,1,4,2,1,1,1,1,1,2,5,3,2,2,2,1,1,2,1,4,2,Database Admin
4,4,1,4,2,1,1,1,1,1,2,5,3,2,2,2,1,1,2,1,4,2,Database Admin
5,4,1,5,2,1,1,1,1,1,2,5,3,2,2,2,1,1,2,1,4,2,Database Admin
3,3,2,2,2,1,1,3,1,1,4,2,2,2,2,1,1,1,5,3,3,5,Business Analyst
3,4,3,2,2,1,1,3,1,1,4,2,2,2,2,1,1,1,5,3,3,5,Business Analyst
4,4,3,2,2,1,1,3,1,1,4,2,2,2,2,1,1,1,5,3,3,5,Business Analyst
4,4,1,2,1,2,1,1,1,1,2,3,2,3,5,2,1,1,2,1,4,2,Software Tester
4,4,1,2,1,2,1,1,1,1,2,3,2,3,5,2,1,1,2,1,4,2,Software Tester
3,4,1,2,1,2,1,1,1,1,2,3,2,3,5,2,1,1,2,1,4,2,Software Tester
4,4,1,1,1,2,1,1,5,1,2,2,1,1,2,5,1,1,2,1,4,2,Robotics
4,4,1,1,1,2,1,1,5,1,2,2,1,1,2,5,1,1,2,1,4,2,Robotics
5,4,1,1,1,2,1,1,5,1,2,2,1,1,2,5,1,1,2,1,4,2,Robotics
4,4,4,2,1,1,1,4,1,2,2,1,1,1,2,2,5,1,2,4,3,2,AR/VR Developer
4,4,4,2,1,1,1,4,1,2,2,1,1,1,2,2,5,1,2,4,3,2,AR/VR Developer
3,4,4,2,1,1,1,3,1,2,2,1,1,1,2,2,5,1,2,4,3,2,AR/VR Developer
4,4,3,2,1,1,1,2,1,5,2,1,1,1,2,2,2,1,2,3,4,2,Game Designer
4,4,3,2,1,1,1,2,1,5,2,1,1,1,2,2,2,1,2,3,5,2,Game Designer
3,4,3,2,1,1,1,2,1,5,2,1,1,1,2,2,2,1,2,3,4,2,Game Designer
4,4,2,2,1,2,1,1,1,1,2,2,1,1,2,2,1,5,2,2,3,2,Blockchain Dev
4,5,2,2,1,2,1,1,1,1,2,2,1,1,2,2,1,5,2,2,4,2,Blockchain Dev
5,4,2,2,1,2,1,1,1,1,2,2,1,1,2,2,1,5,2,2,3,3,Blockchain Dev
4,4,1,2,1,4,1,1,1,1,2,2,2,2,3,5,1,1,2,1,5,2,Cybersecurity Analyst
4,4,1,2,1,5,1,1,1,1,2,2,2,2,3,5,1,1,2,1,5,2,Cybersecurity Analyst
5,4,1,2,1,5,1,1,1,1,2,2,2,2,3,5,1,1,2,1,5,2,Cybersecurity Analyst
4,4,3,2,1,1,1,2,1,1,2,2,1,1,2,1,1,1,3,5,3,2,UI/UX Designer
3,3,4,2,1,1,1,4,1,1,2,1,1,1,2,1,1,1,3,5,3,2,UI/UX Designer
4,3,5,1,1,1,1,5,1,1,2,1,1,1,2,1,1,1,3,5,3,2,UI/UX Designer
5,5,1,3,1,1,1,1,1,1,2,3,2,2,2,2,1,1,2,1,4,2,Backend Developer
4,5,1,2,1,1,1,1,1,1,2,3,2,2,2,2,1,1,2,1,5,2,Backend Developer
5,4,1,2,1,1,1,1,1,1,2,3,2,2,2,2,1,1,2,1,4,2,Backend Developer
3,3,2,2,2,1,1,1,1,1,2,2,1,1,2,1,1,1,5,3,4,5,Project Manager
3,3,2,2,2,1,1,1,1,1,2,2,1,1,2,1,1,1,5,3,4,5,Project Manager
4,3,2,2,2,1,1,1,1,1,2,2,1,1,2,1,1,1,5,3,5,5,Project Manager
4,4,1,3,2,1,1,1,1,1,4,5,2,2,2,2,1,1,3,1,4,2,Data Engineer
4,5,1,3,2,1,1,1,1,1,4,5,2,2,2,2,1,1,3,1,4,2,Data Engineer
5,4,1,3,2,1,1,1,1,1,4,5,2,2,2,2,1,1,3,1,4,2,Data Engineer
3,3,3,2,1,1,1,2,1,1,2,2,1,1,2,1,3,1,3,5,3,2,Frontend Developer
4,3,3,2,1,1,1,3,1,1,2,2,1,1,2,1,3,1,3,5,3,2,Frontend Developer
4,4,3,2,1,1,1,3,1,1,2,2,1,1,2,1,3,1,3,5,3,2,Frontend Developer
5,5,1,2,1,1,1,1,1,1,2,2,2,4,5,2,1,1,2,1,4,2,DevOps Engineer
5,4,1,2,1,1,1,1,1,1,2,2,2,4,5,2,1,1,2,1,4,2,DevOps Engineer
4,4,1,2,1,1,1,1,1,1,2,2,2,4,5,2,1,1,2,1,4,2,DevOps Engineer
3,3,1,2,1,1,1,1,5,1,2,2,1,1,2,5,1,1,2,1,3,2,Embedded Engineer
4,4,1,2,1,1,1,1,5,1,2,2,1,1,2,5,1,1,2,1,4,2,Embedded Engineer
4,4,1,2,1,1,1,1,5,1,2,2,1,1,2,5,1,1,2,1,4,2,Embedded Engineer
3,3,2,2,1,1,1,1,1,4,2,2,1,1,2,1,2,1,3,3,3,2,Game Developer
4,4,2,2,1,1,1,1,1,5,2,2,1,1,2,1,2,1,3,3,4,2,Game Developer
4,4,2,2,1,1,1,1,1,5,2,2,1,1,2,1,2,1,3,3,4,2,Game Developer
4,4,2,4,2,1,1,1,1,1,4,5,2,2,2,2,1,1,2,1,3,2,Business Intelligence
4,5,2,4,2,1,1,1,1,1,4,5,2,2,2,2,1,1,2,1,3,2,Business Intelligence
5,4,2,5,2,1,1,1,1,1,4,5,2,2,2,2,1,1,2,1,3,2,Business Intelligence
4,4,1,2,1,1,1,1,1,1,3,3,4,3,2,2,1,1,2,1,4,2,System Administrator
4,4,1,2,1,1,1,1,1,1,3,3,4,3,2,2,1,1,2,1,4,2,System Administrator
5,4,1,2,1,1,1,1,1,1,3,3,4,3,2,2,1,1,2,1,4,2,System Administrator
4,4,2,2,1,1,1,2,1,1,3,2,1,1,2,1,2,1,3,4,3,2,Tech Support Engineer
3,3,2,2,1,1,1,2,1,1,3,2,1,1,2,1,2,1,3,4,3,2,Tech Support Engineer
4,4,2,2,1,1,1,2,1,1,3,2,1,1,2,1,2,1,3,4,3,2,Tech Support Engineer
4,4,1,3,2,1,1,1,1,1,2,4,2,2,2,2,1,1,2,1,4,2,Research Scientist
4,5,1,3,2,1,1,1,1,1,2,4,2,2,2,2,1,1,2,1,4,2,Research Scientist
5,4,1,3,2,1,1,1,1,1,2,4,2,2,2,2,1,1,2,1,4,2,Research Scientist
3,3,4,1,1,1,1,4,1,1,2,1,1,1,2,1,1,1,3,5,3,2,Interaction Designer
4,3,4,1,1,1,1,4,1,1,2,1,1,1,2,1,1,1,3,5,3,2,Interaction Designer
4,4,5,1,1,1,1,5,1,1,2,1,1,1,2,1,1,1,3,5,3,2,Interaction Designer
4,4,1,2,1,1,1,1,1,1,2,3,2,3,4,3,1,1,2,1,4,2,Quality Assurance
3,4,1,2,1,1,1,1,1,1,2,3,2,3,5,3,1,1,2,1,4,2,Quality Assurance
4,4,1,2,1,1,1,1,1,1,2,3,2,3,5,3,1,1,2,1,4,2,Quality Assurance
5,5,2,3,1,1,1,1,1,1,3,3,3,4,3,2,1,1,2,1,4,2,Software Architect
4,5,2,3,1,1,1,1,1,1,3,3,3,4,3,2,1,1,2,1,4,2,Software Architect
5,4,2,3,1,1,1,1,1,1,3,3,3,4,3,2,1,1,2,1,4,2,Software Architect
4,4,3,2,1,1,1,3,1,1,2,2,1,1,2,1,2,1,3,4,3,2,CRM Developer
4,4,3,2,1,1,1,3,1,1,2,2,1,1,2,1,2,1,3,4,3,2,CRM Developer
5,4,3,2,1,1,1,3,1,1,2,2,1,1,2,1,2,1,3,4,3,2,CRM Developer
4,4,1,2,1,1,1,1,1,1,2,2,1,1,2,1,5,1,2,1,3,2,Blockchain Analyst
4,5,1,2,1,1,1,1,1,1,2,2,1,1,2,1,5,1,2,1,3,2,Blockchain Analyst
5,4,1,2,1,1,1,1,1,1,2,2,1,1,2,1,5,1,2,1,3,2,Blockchain Analyst
4,5,1,3,2,1,1,1,1,1,3,4,2,2,2,3,1,1,2,1,4,2,Data Scientist
5,5,1,4,2,1,1,1,1,1,3,5,2,2,2,3,1,1,2,1,5,2,Data Scientist
5,4,1,4,2,1,1,1,1,1,3,5,2,2,2,3,1,1,2,1,4,2,Data Scientist
4,4,1,2,1,5,1,1,1,1,2,2,2,2,2,3,1,1,2,1,5,2,Security Engineer
4,5,1,2,1,5,1,1,1,1,2,2,2,2,2,3,1,1,2,1,5,2,Security Engineer
5,4,1,2,1,5,1,1,1,1,2,2,2,2,2,3,1,1,2,1,5,2,Security Engineer
4,3,4,1,1,1,1,4,1,1,2,1,1,1,2,1,1,1,3,5,3,2,UI/UX Designer
5,3,4,1,1,1,1,5,1,1,2,1,1,1,2,1,1,1,3,5,3,2,UI/UX Designer
4,4,5,1,1,1,1,5,1,1,2,1,1,1,2,1,1,1,3,5,3,2,UI/UX Designer
3,3,2,3,2,1,1,1,1,1,3,4,2,2,2,2,1,1,2,1,3,3,Business Analyst
4,3,2,3,2,1,1,1,1,1,3,4,2,2,2,2,1,1,2,1,3,3,Business Analyst
4,4,2,4,2,1,1,1,1,1,3,4,2,2,2,2,1,1,2,1,3,3,Business Analyst
5,5,1,2,1,1,1,1,1,1,2,2,4,5,3,2,1,1,2,1,4,2,Cloud Engineer
4,5,1,2,1,1,1,1,1,1,2,2,4,5,3,2,1,1,2,1,4,2,Cloud Engineer
5,4,1,2,1,1,1,1,1,1,2,2,4,5,3,2,1,1,2,1,4,2,Cloud Engineer
4,4,1,2,1,1,5,1,1,1,2,2,1,1,2,1,2,1,2,4,3,2,Mobile App Developer
4,4,1,2,1,1,5,1,1,1,2,2,1,1,2,1,2,1,2,4,3,2,Mobile App Developer
5,4,1,2,1,1,5,1,1,1,2,2,1,1,2,1,2,1,2,4,3,2,Mobile App Developer
4,4,2,3,1,1,1,1,1,1,2,3,3,3,2,3,1,1,2,1,5,2,System Architect
5,4,2,3,1,1,1,1,1,1,2,3,3,3,2,3,1,1,2,1,5,2,System Architect
5,5,2,3,1,1,1,1,1,1,2,3,3,3,2,3,1,1,2,1,5,2,System Architect
3,3,2,2,1,1,1,2,1,1,3,2,1,1,2,1,2,1,3,4,4,3,Support Engineer
4,3,2,2,1,1,1,2,1,1,3,2,1,1,2,1,2,1,3,4,4,3,Support Engineer
4,4,2,2,1,1,1,2,1,1,3,2,1,1,2,1,2,1,3,4,4,3,Support Engineer
4,4,1,2,1,1,1,1,1,1,2,4,2,2,2,2,1,1,2,1,4,2,AI Researcher
5,4,1,3,2,1,1,1,1,1,2,5,2,2,2,2,1,1,2,1,4,2,AI Researcher
5,5,1,3,2,1,1,1,1,1,2,5,2,2,2,2,1,1,2,1,5,2,AI Researcher
4,3,2,2,1,1,1,1,1,1,3,3,2,2,2,1,1,1,2,3,4,3,IT Consultant
4,4,2,2,1,1,1,1,1,1,3,3,2,2,2,1,1,1,2,3,4,3,IT Consultant
5,4,2,2,1,1,1,1,1,1,3,3,2,2,2,1,1,1,2,3,4,3,IT Consultant
4,4,1,2,1,1,1,1,1,1,2,2,2,2,2,4,1,1,2,1,4,2,Performance Engineer
5,4,1,2,1,1,1,1,1,1,2,2,2,2,2,4,1,1,2,1,4,2,Performance Engineer
5,5,1,2,1,1,1,1,1,1,2,2,2,2,2,4,1,1,2,1,5,2,Performance Engineer
4,3,2,2,1,1,1,2,1,1,2,2,1,1,2,1,2,1,3,4,3,2,ERP Consultant
4,4,2,2,1,1,1,2,1,1,2,2,1,1,2,1,2,1,3,4,3,2,ERP Consultant
5,4,2,2,1,1,1,2,1,1,2,2,1,1,2,1,2,1,3,4,3,2,ERP Consultant
4,4,1,2,1,1,1,1,1,1,2,2,2,2,3,2,4,1,2,1,3,2,AR/VR Developer
5,4,1,2,1,1,1,1,1,1,2,2,2,2,3,2,5,1,2,1,3,2,AR/VR Developer
5,5,1,2,1,1,1,1,1,1,2,2,2,2,3,2,5,1,2,1,3,2,AR/VR Developer
4,4,2,2,1,1,1,1,1,1,3,2,2,2,2,2,1,1,4,3,3,3,Technical Writer
4,5,2,2,1,1,1,1,1,1,3,2,2,2,2,2,1,1,5,3,3,3,Technical Writer
5,4,2,2,1,1,1,1,1,1,3,2,2,2,2,2,1,1,5,3,3,3,Technical Writer
5,5,2,5,5,2,1,1,1,1,4,4,2,2,2,2,1,1,2,1,5,2,AI/ML
4,5,2,5,4,2,1,1,1,1,4,4,2,2,2,2,1,1,2,1,4,2,AI/ML
5,4,1,5,5,1,1,1,1,1,5,4,2,2,1,2,1,1,1,1,5,2,AI/ML
4,4,1,5,4,2,1,1,1,1,4,5,2,1,2,2,1,1,2,1,4,2,AI/ML
5,5,1,5,5,2,1,1,1,1,5,5,2,2,2,2,1,1,2,1,5,2,Data Science
4,5,1,5,4,2,1,1,1,1,4,5,2,2,2,1,1,1,2,1,4,2,Data Science
5,4,1,5,5,1,1,1,1,1,5,5,2,2,1,2,1,1,2,1,5,2,Data Science
4,4,2,5,4,2,1,1,1,1,4,4,2,2,2,1,1,1,2,1,4,2,Data Science
5,4,3,2,1,1,1,2,2,1,2,3,2,2,4,5,1,1,2,1,5,2,Backend Software
4,4,3,2,1,1,1,2,2,1,3,3,2,2,4,4,1,1,2,1,4,2,Backend Software
5,5,3,2,1,2,1,2,2,1,3,4,2,2,4,4,1,1,2,1,5,2,Backend Software
4,5,2,2,1,1,1,2,2,1,3,4,2,2,3,5,1,1,2,1,4,2,Backend Software
4,5,2,3,2,2,1,1,2,4,2,3,2,4,5,3,1,1,2,1,4,2,Frontend Dev
5,5,2,3,2,2,1,1,2,5,2,3,2,5,5,4,1,1,2,1,5,2,Frontend Dev
4,4,2,3,2,2,1,1,2,4,2,3,2,4,4,4,1,1,2,1,4,2,Frontend Dev
5,4,2,3,2,2,1,1,2,5,2,3,2,5,4,4,1,1,2,1,5,2,Frontend Dev
4,4,2,4,2,2,2,2,2,4,2,3,2,4,5,3,1,1,2,1,4,2,Full Stack
5,5,2,4,2,2,2,2,2,5,2,4,2,5,5,4,1,1,2,1,5,2,Full Stack
4,4,2,4,2,2,2,2,2,4,2,4,2,4,4,4,1,1,2,1,4,2,Full Stack
5,5,2,4,2,2,2,2,2,5,2,4,2,5,4,4,1,1,2,1,5,2,Full Stack
4,5,1,2,2,2,4,5,5,2,5,5,5,5,4,5,1,1,2,1,5,2,Cybersecurity
5,5,1,2,2,2,4,5,5,2,5,5,5,5,5,5,1,1,2,1,5,2,Cybersecurity
4,4,1,2,2,2,4,5,5,2,4,5,5,4,4,4,1,1,2,1,4,2,Cybersecurity
5,4,1,2,2,2,4,5,5,2,5,5,5,4,5,4,1,1,2,1,5,2,Cybersecurity
3,3,4,1,1,1,1,1,1,5,3,3,2,2,3,3,5,1,2,4,2,2,Game Development
4,4,4,1,1,1,1,1,1,5,4,3,2,2,3,4,5,1,2,4,2,2,Game Development
3,4,4,1,1,1,1,1,1,5,4,4,2,2,4,4,5,1,2,4,2,2,Game Development
4,5,4,1,1,1,1,1,1,5,5,4,2,2,4,5,5,1,2,4,2,2,Game Development
2,3,5,1,1,1,1,1,1,5,2,3,1,1,2,2,5,1,2,5,1,1,AR/VR
3,3,5,1,1,1,1,1,1,5,2,3,1,1,2,2,5,1,2,5,1,1,AR/VR
2,4,5,1,1,1,1,1,1,5,3,3,1,1,2,2,5,1,2,5,1,1,AR/VR
3,4,5,1,1,1,1,1,1,5,3,4,1,1,2,2,5,1,2,5,1,1,AR/VR
4,4,2,2,1,1,1,1,1,1,3,3,3,3,3,4,1,5,2,1,5,2,Blockchain
5,4,2,2,1,1,1,1,1,1,3,4,3,3,3,4,1,5,2,1,5,2,Blockchain
4,5,2,2,1,1,1,1,1,1,3,3,3,3,3,5,1,5,2,1,4,2,Blockchain
5,5,2,2,1,1,1,1,1,1,3,4,3,3,3,5,1,5,2,1,5,2,Blockchain
3,3,2,2,1,1,1,2,1,1,5,2,2,1,1,1,1,1,5,4,1,5,Product Management
4,3,2,2,1,1,1,2,1,1,5,3,2,1,1,1,1,1,5,4,1,5,Product Management
3,4,2,2,1,1,1,2,1,1,5,3,2,1,1,1,1,1,5,5,1,5,Product Management
4,4,2,2,1,1,1,2,1,1,5,4,2,1,1,1,1,1,5,5,1,5,Product Management
4,3,2,1,1,1,1,1,1,1,3,2,2,2,5,3,1,1,2,1,5,2,QA / Testing
5,3,2,1,1,1,1,1,1,1,3,2,2,2,5,4,1,1,2,1,5,2,QA / Testing
4,4,2,1,1,1,1,1,1,1,3,2,2,2,5,3,1,1,2,1,4,2,QA / Testing
5,4,2,1,1,1,1,1,1,1,3,3,2,2,5,4,1,1,2,1,5,2,QA / Testing
4,4,2,2,1,1,1,1,5,1,2,2,1,1,2,5,1,1,2,1,5,2,Embedded / IoT
5,4,2,2,1,1,1,1,5,1,2,2,1,1,2,5,1,1,2,1,5,2,Embedded / IoT
4,5,2,2,1,1,1,1,5,1,2,2,1,1,2,5,1,1,2,1,4,2,Embedded / IoT
5,5,2,2,1,1,1,1,5,1,2,2,1,1,2,5,1,1,2,1,5,2,Embedded / IoT
5,5,2,5,5,3,1,1,1,1,4,5,3,2,2,2,1,1,2,1,5,2,AI/ML
4,5,2,5,4,3,1,1,1,1,4,4,3,2,2,2,1,1,2,1,4,2,AI/ML
5,4,2,5,5,2,1,1,1,1,5,5,3,2,2,2,1,1,2,1,5,2,AI/ML
4,4,2,5,4,3,1,1,1,1,4,5,3,2,2,2,1,1,2,1,4,2,AI/ML
5,5,1,5,5,3,1,1,1,1,5,5,2,3,2,2,1,1,2,1,5,2,Data Science
4,5,1,5,4,3,1,1,1,1,4,5,2,3,2,2,1,1,2,1,4,2,Data Science
5,4,1,5,5,2,1,1,1,1,5,4,2,3,2,2,1,1,2,1,5,2,Data Science
4,4,1,5,4,3,1,1,1,1,4,4,2,3,2,2,1,1,2,1,4,2,Data Science
